sexe;deptgeo;deptgeo_Autre;deptformation;niveau;reprise;alternant;bourse;travail;logement;logement_Autre;fumer;alimentation;sante;fan;sport;raisonnonsuaps;raisonnonsuaps_Autre;sportavant;typessportavant_1;typessportavant_2;typessportavant_3;typessportavant_4;typessportavant_5;typessportavant_6;typessportavant_7;typessportavant_8;typessportavant_9;typessportavant_Autre;raisonarretsport;raisonarretsport_Autre;covid;raisonjamaissport;raisonjamaissport_Autre;cadresport_1;cadresport_2;sportsuaps_1;sportsuaps_2;sportsuaps_3;sportsuaps_4;sportsuaps_5;sportsuaps_6;sportsuaps_7;heuressuaps;bonif;satisfsuaps;raisonnonsatisfsuaps_1;raisonnonsatisfsuaps_2;raisonnonsatisfsuaps_3;raisonnonsatisfsuaps_4;raisonnonsatisfsuaps_Autre;lieu_1;lieu_2;lieu_3;lieu_Autre;sportsnonsuaps_1;sportsnonsuaps_2;sportsnonsuaps_3;sportsnonsuaps_4;sportsnonsuaps_5;sportsnonsuaps_6;sportsnonsuaps_7;sportsnonsuaps_8;sportsnonsuaps_9;sportsnonsuaps_Autre;cadrenonsuaps_1;cadrenonsuaps_2;tempsnonsuaps;compet;motiv;motiv_Autre;passersport;argument;argument_Autre;refairesport;reussite
Une femme;79;;GEA;Licence Pro;Oui;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;4h ou plus;Non;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;79;;GEA;Licence Pro;Non;Oui;;;Locataire;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Sport collectif auttre que foot;;;;;;;;;;Club, association;;4h ou plus;Oui;Autre;haut niveau;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;17;;GEA;Licence Pro;Oui;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;2h;Non;Etre en forme;;Ce serait difficile;;;;Moyennement d'accord
Une femme;79;;GEA;Licence Pro;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Oui;Oui;Non;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Autre;;;;;;;;;Musculation;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;79;;GEA;Licence Pro;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Football;Running, athlétisme;;;;;;;;;Club, association;Pratique libre;4h ou plus;Oui;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Moyennement d'accord
Un homme;79;;GEA;Licence Pro;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Autre;;;;;;;;;Musculation;Pratique libre;;4h ou plus;Non;S'amuser;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;79;;GEA;Licence Pro;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Gym, fitness, zumba...;;;;;;;;;;Club, association;;3h;Oui;Etre en forme;;Oui sans trop de problème;;;;Tout à fait d'accord
Une femme;79;;GEA;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Autre;;;;;;;;;Musculation;Pratique libre;;4h ou plus;Non;Evacuer les tensions;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;79;;GEA;Licence Pro;Oui;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Football;Sport collectif autre que foot;;;;;;;;;Manque de temps;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Non;Moyennement d'accord
Un homme;79;;GEA;Licence Pro;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Une femme;79;;GEA;Licence Pro;Non;Oui;;;Locataire;;Oui;Oui;Oui;Non;Non;Les horaires sont inadaptés;;Oui;Autre;;;;;;;;;Equitation;Difficultés financières;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Une femme;79;;GEA;Licence Pro;Non;Oui;;;Locataire;;Oui;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Running, athlétisme;;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Moyennement d'accord
Un homme;17;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Autre;;;Rochefort(17);Sport d'eau;Autre;;;;;;;;Golf;Club, association;;4h ou plus;Oui;S'amuser;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;17;;GEA;BUT1;Non;Oui;;;Locataire;;Non;Oui;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Sport collectif autre que foot;;;;;;;;;;Plus d'envie;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Pas vraiment d'accord
Un homme;17;;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Non;Non;Oui;Oui;Non;Les activités proposées ne vous conviennent pas;;Oui;Football;Running, athlétisme;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Un homme;Autre;35;GEA;BUT1;Non;Non;Non;Non;Locataire;;Non;Non;Oui;Non;Non;Les horaires sont inadaptés;;Oui;Football;Sport collectif autre que foot;Sport de raquette;Sport d'eau;Running, athlétisme;;;;;;Plus d'envie;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Un problème de santé;;Oui;Pas vraiment d'accord
Une femme;Autre;37;GEA;BUT1;Non;Non;Oui;Oui;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Running, athlétisme;Yoga;;;;;;;;;Pratique libre;;2h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;79;;GEA;BUT1;Oui;Non;Non;Oui;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Football;Sport de raquette;Gym, fitness, zumba...;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;17;;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Autre;;;;;;;;;Basket;Club, association;Pratique libre;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;79;;GEA;BUT1;Non;Non;Oui;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Non;Non;Autre;Pas envie, sans connaissances;Oui;Sport de raquette;Sport collectif autre que foot;;;;;;;;;Manque de temps;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Non;Moyennement d'accord
Une femme;79;;GEA;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Non;Non;Les horaires sont inadaptés;;Oui;Sport collectif autre que foot;;;;;;;;;;Manque de temps;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Une femme;17;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Non;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Autre;;;;;;;;;roller artistique;Manque de temps;;Non;Manque de temps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Un homme;85;;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Oui;Non;Les horaires sont inadaptés;;Oui;Football;Sport de raquette;;;;;;;;;Manque de temps;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Un homme;17;;GEA;BUT1;Non;Non;Oui;Oui;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Football;;;;;;;;;;Club, association;;3h;Oui;S'amuser;;Ce serait difficile;;;;Moyennement d'accord
Un homme;17;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Oui;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;Dans le cadre du SUAPS;Volley;;;;;;;2h;Non;Oui;;;;;;Près de votre domicile familial;;;;Sport collectif auttre que foot;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Ce serait difficile;;;;Moyennement d'accord
Un homme;17;;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Non;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Sport collectif autre que foot;;;;;;;;;;Plus d'envie;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Un problème de santé;;Oui;Moyennement d'accord
Un homme;79;;GEA;BUT1;Oui;Non;Oui;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Futsal;;;;;;;2h;Non;Oui;;;;;;Près de votre domicile familial;;;;Football;;;;;;;;;;Club, association;;4h ou plus;Oui;S'amuser;;Ce serait difficile;;;;Moyennement d'accord
Une femme;79;;GEA;BUT1;Oui;Non;Non;Oui;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Non;Non;Les horaires sont inadaptés;;Oui;Gym, fitness, zumba...;;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Etre en forme;;Ce serait difficile;Plus de temps;;Oui;Tout à fait d'accord
Une femme;85;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Gym, fitness, zumba...;;;;;;;;;;Club, association;;2h;Oui;S'amuser;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;79;;GEA;BUT1;Oui;Non;Oui;Oui;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Non;Non;Autre;Je n'ai pas le temps;Oui;Sport d'eau;;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tout à fait d'accord
Une femme;85;;GEA;BUT1;Non;Non;Non;Oui;Autre;;Non;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Autre;;;;;;;;;salle de sport;Pratique libre;;3h;Non;Etre en forme;;Oui sans trop de problème;;;;Moyennement d'accord
Un homme;85;;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Oui;Oui;Oui;Oui;Non;Les activités proposées ne vous conviennent pas;;Oui;Running, athlétisme;;;;;;;;;;Manque de temps;;Non;;;Dans le cadre du SUAPS;En dehors du SUAPS;;;;;;;;1h ou moins;Non;Non;Horaires;Lieux;Activités proposées;;;Près de votre domicile familial;;;;Running, athlétisme;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Ce serait difficile;Plus de temps;;Oui;Tout à fait d'accord
Un homme;17;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Oui;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Futsal;;;;;;;2h;Non;Oui;;;;;;A Niort;Près de votre domicile familial;;;Football;Running, athlétisme;Autre;;;;;;;salle de sport;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;79;;GEA;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Futsal;;;;;;;3h ou plus;Oui;Oui;Autre;;;;pas assez d'aides financières pour les déplacements, logements;Autre;;;Chauray;Football;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Moyennement d'accord
Une femme;79;;GEA;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Autre;;;;;;;;;Musculation;Pratique libre;;4h ou plus;Non;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;44;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Oui;Non;Oui;Oui;Oui;;;Oui;Football;Sport collectif autre que foot;Sport de raquette;Sport d'eau;;;;;;;Manque de temps;;Oui;;;Dans le cadre du SUAPS;En dehors du SUAPS;Basket;;;;;;;2h;Oui;;;;;;;A Niort;;;;Sport collectif auttre que foot;;;;;;;;;;Pratique libre;;3h;Non;Etre en forme;;Ce serait difficile;Plus de temps;;Oui;Moyennement d'accord
Un homme;79;;GEA;BUT1;Non;Non;Oui;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Non;Non;Les activités proposées ne vous conviennent pas;;Non;;;;;;;;;;;;;;Pas d'envie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Moyennement d'accord
Un homme;Autre;33;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Badminton;;;;;;;2h;Non;Oui;;;;;;A Niort;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;79;;GEA;BUT1;Non;Non;Oui;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Badminton;;;;;;;2h;Oui;Oui;;;;;;Près de votre domicile familial;;;;Sport collectif auttre que foot;Sport de raquette;;;;;;;;;Club, association;;3h;Oui;S'amuser;;Ce serait difficile;;;;Moyennement d'accord
Un homme;17;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;S'amuser;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;79;;GEA;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Non;;;;Oui;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Running, athlétisme;;;;;;;;;;Pratique libre;;1h;Non;Etre en forme;;Oui sans trop de problème;;;;Tout à fait d'accord
Une femme;79;;GEA;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Football;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Ce serait difficile;;;;Moyennement d'accord
Un homme;79;;GEA;BUT1;Non;Non;Oui;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Sport collectif auttre que foot;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;79;;GEA;BUT1;Non;Non;Oui;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Gym, fitness, zumba...;;;;;;;;;;Plus d'envie;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Non;Tout à fait d'accord
Une femme;17;;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Oui;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;1h;Non;Etre en forme;;Oui sans trop de problème;;;;Tout à fait d'accord
Une femme;17;;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Non;Non;Oui;Non;Non;Les activités proposées ne vous conviennent pas;;Oui;Gym, fitness, zumba...;;;;;;;;;;Plus d'envie;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Un homme;79;;GEA;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Non;Non;Les horaires sont inadaptés;;Oui;Football;;;;;;;;;;Manque de temps;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Un problème de santé;;Oui;Tout à fait d'accord
Un homme;Autre;50;GEA;BUT1;Non;Non;Non;Non;Locataire;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Autre;;;;;;;;;handball;Club, association;;4h ou plus;Oui;S'amuser;;Je ne peux pas l'envisager;;;;
Un homme;79;;GEA;BUT1;Non;Non;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Football;Sport de raquette;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Un problème de santé;;Non;Pas vraiment d'accord
Une femme;79;;GEA;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Football;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Ce serait difficile;;;;Moyennement d'accord
Une femme;79;;GEA;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Oui;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Autre;;;;;;;;;dase modern jazz;Club, association;;2h;Non;S'amuser;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;79;;GEA;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Autre;;;;;;;;;musculation;Pratique libre;;3h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;79;;GEA;BUT1;Non;Non;Oui;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Non;Non;Non;Les activités proposées ne vous conviennent pas;;Oui;Football;Sport d'eau;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Un homme;86;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Oui;Oui;Oui;Non;Non;Les horaires sont inadaptés;;Oui;Sport collectif autre que foot;Gym, fitness, zumba...;Sport de raquette;;;;;;;;Manque de temps;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Une femme;Autre;47;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Autre;;;;;;;;;basket-ball;Club, association;;4h ou plus;Oui;Autre;niveau professionel;Je ne peux pas l'envisager;;;;Moyennement d'accord
Une femme;17;;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Oui;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Gym, fitness, zumba...;;;;;;;;;;Manque de temps;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Non;Tout à fait d'accord
Une femme;79;;GEA;BUT1;Non;Non;Non;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Badminton;;;;;;;2h;Oui;Oui;;;;;;Près de votre domicile familial;;;;Sport collectif auttre que foot;;;;;;;;;;Club, association;;4h ou plus;Oui;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Moyennement d'accord
Un homme;79;;GEA;BUT1;Non;Non;Oui;Non;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;;Badminton;;;;;;;2h;Non;Oui;;;;;;;;;;;;;;;;;;;;;;;;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Une femme;Autre;33;GEA;BUT1;Oui;Non;Oui;Oui;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Autre;;;la rochelle , la grande motte;Autre;;;;;;;;;voile , musculation;Club, association;Pratique libre;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;17;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Non;Non;Oui;Non;Non;Les horaires sont inadaptés;;Oui;Autre;;;;;;;;;danse;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Non;Moyennement d'accord
Un homme;Autre;37;GEA;BUT1;Non;Non;Non;Non;Locataire;;Non;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Football;Sport collectif autre que foot;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Moyennement d'accord
Un homme;17;;GEA;BUT1;Oui;Non;Non;Non;Locataire;;Oui;Non;Oui;Non;Non;Autre;flemme sport à la maison;Oui;Gym, fitness, zumba...;Sport de raquette;Sport d'eau;Autre;;;;;;tennis;Difficultés pratiques;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Moyennement d'accord
Une femme;17;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Non;Non;Oui;Non;Non;Les horaires sont inadaptés;;Oui;Sport d'eau;;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Un problème de santé;;Oui;Moyennement d'accord
Un homme;79;;GEA;BUT1;Non;Non;Non;Oui;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;3h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;86;;GEA;BUT1;Non;Non;Oui;Non;Domicilié.e chez vos (ou un de vos ) parents;;Oui;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Autre;;;;;;;;;Tennis;Plus d'envie;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Moyennement d'accord
Une femme;79;;GEA;BUT1;Non;Non;Non;Oui;Domicilié.e chez vos (ou un de vos ) parents;;Oui;Non;Oui;Oui;Non;Les activités proposées ne vous conviennent pas;;Oui;Autre;;;;;;;;;Sport de combat;Manque de temps;;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Moyennement d'accord
Un homme;16;;GEA;BUT1;Oui;Non;Non;Non;Locataire;;Non;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;3h;Non;Autre;Il faut en faire;Ce serait difficile;;;;Moyennement d'accord
Un homme;16;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Oui;Non;Non;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;;Futsal;;;;;;;2h;Non;Oui;;;;;;;;;;;;;;;;;;;;;;;;Evacuer les tensions;;Ce serait difficile;;;;Moyennement d'accord
Un homme;17;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Non;Non;Oui;Oui;Non;Les horaires sont inadaptés;;Oui;Football;Autre;;;;;;;;Rugby;Autre;Blessure;Oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Moyennement d'accord
Une femme;17;;GEA;BUT1;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Non;;;;;;;;;;;;;;Manque de temps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Non;Tout à fait d'accord
Un homme;17;;GEA;BUT1;Non;Non;Non;Non;Locataire;;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Sport collectif auttre que foot;;;;;;;;;;Club, association;;3h;Oui;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
