sexe;deptgeo;deptgeo_Autre;deptformation;niveau;reprise;alternant;bourse;travail;logement;logement_Autre;fumer;alimentation;sante;fan;sport;raisonnonsuaps;raisonnonsuaps_Autre;sportavant;typessportavant_1;typessportavant_2;typessportavant_3;typessportavant_4;typessportavant_5;typessportavant_6;typessportavant_7;typessportavant_8;typessportavant_9;typessportavant_Autre;raisonarretsport;raisonarretsport_Autre;covid;raisonjamaissport;raisonjamaissport_Autre;cadresport_1;cadresport_2;sportsuaps_1;sportsuaps_2;sportsuaps_3;sportsuaps_4;sportsuaps_5;sportsuaps_6;sportsuaps_7;heuressuaps;bonif;satisfsuaps;raisonnonsatisfsuaps_1;raisonnonsatisfsuaps_2;raisonnonsatisfsuaps_3;raisonnonsatisfsuaps_4;raisonnonsatisfsuaps_Autre;lieu_1;lieu_2;lieu_3;lieu_Autre;sportsnonsuaps_1;sportsnonsuaps_2;sportsnonsuaps_3;sportsnonsuaps_4;sportsnonsuaps_5;sportsnonsuaps_6;sportsnonsuaps_7;sportsnonsuaps_8;sportsnonsuaps_9;sportsnonsuaps_Autre;cadrenonsuaps_1;cadrenonsuaps_2;tempsnonsuaps;compet;motiv;motiv_Autre;passersport;argument;argument_Autre;refairesport;reussite
Un homme;86;;HSE;BUT1;Non;Non;Non;Non;Locataire;;Non;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Volley;;;;;;;2h;Non;Oui;;;;;;A Niort;Près de votre domicile familial;;;Running, athlétisme;Yoga;Autre;;;;;;;muscu;Pratique libre;;3h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Une femme;16;;HSE;BUT1;Non;Non;Non;Oui;Locataire;;Non;Non;Oui;Non;Non;Les activités proposées ne vous conviennent pas;;Oui;Sport de raquette;;;;;;;;;;Plus d'envie;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Un accès plus facile aux équipements/cours;;Oui;Tout à fait d'accord
Une femme;85;;HSE;BUT1;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;;Basket;;;;;;;1h ou moins;Non;Oui;;;;;;;;;;;;;;;;;;;;;;;;Etre en forme;;Oui sans trop de problème;;;;Tout à fait d'accord
Un homme;Autre;16;HSE;BUT1;Non;Non;Non;Non;Locataire;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Escalade;;;;;;;2h;Oui;Oui;;;;;;A Niort;;;;Running, athlétisme;;;;;;;;;;Pratique libre;;4h ou plus;Oui;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Pas vraiment d'accord
Un homme;Autre;37;HSE;BUT1;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Non;Les horaires sont inadaptés;;Oui;Football;Autre;;;;;;;;judo boxe mma;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Non;Tout à fait d'accord
Un homme;Autre;;HSE;BUT1;Non;Non;Non;Oui;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Escalade;;;;;;;2h;Oui;Oui;;;;;;A Niort;;;;Autre;;;;;;;;;salle de sport;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Pas vraiment d'accord
Un homme;86;;HSE;BUT1;Non;Non;Oui;Non;Locataire;;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;;Volley;;;;;;;2h;Non;Oui;;;;;;;;;;;;;;;;;;;;;;;;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;Autre;87;HSE;BUT1;Oui;Non;Oui;Non;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;Autre;;;;;;;;kick boxing;Club, association;;3h;Non;Etre en forme;;Oui sans trop de problème;;;;Pas vraiment d'accord
Un homme;85;;HSE;BUT1;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;;Volley;;;;;;;2h;Oui;Oui;;;;;;;;;;;;;;;;;;;;;;;;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;17;;HSE;BUT1;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Volley;;;;;;;2h;Oui;Oui;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Running, athlétisme;;;;;;;;;Pratique libre;;4h ou plus;Non;Autre;preparer les concours pour l'armée;Ce serait difficile;;;;Tout à fait d'accord
